#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 994.368 109734.58
895680000.0 994.115 115949.016
718554000.0 993.61 129453.5
576455000.0 993.25 144530.94
462457000.0 992.998 161364.44
371003000.0 992.819 180158.52
297635000.0 992.691 201141.4
238776000.0 992.6 224568.16
191556000.0 992.526 250723.83
153675000.0 992.439 279925.16
123285000.0 992.303 312527.6
98904300.0 992.072 348928.06
79345400.0 991.677 389567.4
63654300.0 991.01 434940.25
51066300.0 989.949 485597.38
40967600.0 988.349 542154.7
32866000.0 985.985 605299.2
26366500.0 982.632 675798.56
21152400.0 978.085 754507.75
16969300.0 972.042 842386.8
13613500.0 964.189 940499.5
10921400.0 954.434 1050036.4
8761610.0 942.654 1172334.4
7028940.0 928.048 1308876.2
5638920.0 910.045 1461320.8
4523790.0 888.252 1631519.6
3629180.0 862.462 1821542.4
2911490.0 833.414 2033695.1
2335720.0 802.098 2270560.5
1873820.0 771.181 2535009.5
1503260.0 743.252 2830260.8
1205980.0 718.892 3159900.8
967489.0 698.108 3527934.2
776162.0 679.987 3938830.8
622671.0 663.352 4397584.5
499533.0 646.975 4909773.0
400747.0 628.585 5481613.0
321497.0 606.608 6120051.0
257919.0 582.424 6832849.0
206914.0 559.917 7628664.5
165995.0 540.472 8517184.0
133169.0 523.252 9509155.0
106834.0 509.172 10616681.0
85706.6 497.759 11853221.0
68757.6 487.335 13233756.0
55160.3 477.76 14775091.0
44252.0 468.886 16495939.0
35500.9 460.174 18417210.0
28480.4 451.564 20562240.0
22848.2 443.353 22957124.0
18329.8 435.674 25630944.0
14705.0 428.314 28616136.0
11797.0 421.918 31949032.0
9464.04 416.937 35670172.0
7592.46 412.186 39824676.0
6091.01 407.682 44463010.0
4886.47 403.7 49641612.0
3920.14 400.163 55423344.0
3144.91 397.181 61878444.0
2522.98 395.405 69085450.0
2024.04 395.108 77131890.0
1623.78 395.496 86115220.0
1302.66 397.497 96145270.0
1045.05 401.714 107343304.0
838.388 405.965 119845290.0
672.591 410.426 133803660.0
539.582 416.018 149387680.0
432.876 422.454 166786830.0
347.272 429.408 186212420.0
278.597 437.583 207900380.0
223.502 446.68 232114780.0
179.303 454.573 259149120.0
143.845 461.74 289331800.0
115.399 468.646 323029730.0
92.5779 474.46 360653220.0
74.27 478.73 402658400.0
59.5826 482.23 449555970.0
47.7998 485.039 501915360.0
38.3471 487.078 560373060.0
30.7637 488.496 625639550.0
24.68 489.358 698507200.0
19.7993 489.606 779863500.0
15.8839 489.255 870692800.0
12.7427 488.436 972104100.0
10.2228 487.221 1085321900.0
8.20117 485.668 1211729200.0
6.57933 483.954 1352859400.0
5.27823 482.234 1510425600.0
4.23442 480.621 1686345200.0
3.39704 479.146 1882752300.0
2.72525 477.728 2102036700.0
2.18632 476.204 2346857200.0
1.75396 474.371 2620195300.0
1.4071 472.074 2925371400.0
1.12884 469.238 3266083800.0
0.905603 465.835 3646486300.0
0.726514 461.89 4071191600.0
0.582841 457.448 4545362000.0
0.467581 452.561 5074755000.0
0.375113 447.182 5665815600.0
0.300932 441.484 6325711000.0
0.241421 435.822 7062459400.0
0.193678 430.364 7885030400.0
0.155377 425.276 8803394000.0
0.12465 420.658 9828729000.0
0.1 416.694 10973458000.0
