#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 1214.89 14511.954
895680000.0 1214.68 15333.787
718554000.0 1214.25 17119.7
576455000.0 1213.92 19113.633
462457000.0 1213.67 21339.793
371003000.0 1213.47 23825.232
297635000.0 1213.33 26600.137
238776000.0 1213.22 29698.229
191556000.0 1213.13 33157.21
153675000.0 1213.07 37018.965
123285000.0 1213.02 41330.51
98904300.0 1212.98 46144.32
79345400.0 1212.93 51518.71
63654300.0 1212.82 57519.086
51066300.0 1212.58 64218.29
40967600.0 1212.06 71697.766
32866000.0 1211.07 80048.36
26366500.0 1209.29 89371.625
21152400.0 1206.44 99780.586
16969300.0 1202.15 111402.24
13613500.0 1196.1 124377.26
10921400.0 1187.93 138863.05
8761610.0 1177.3 155036.48
7028940.0 1163.92 173093.58
5638920.0 1147.61 193253.73
4523790.0 1128.44 215761.86
3629180.0 1106.76 240891.58
2911490.0 1082.89 268947.94
2335720.0 1056.57 300272.44
1873820.0 1028.07 335244.72
1503260.0 997.954 374290.5
1205980.0 966.983 417884.06
967489.0 935.917 466555.0
776162.0 903.643 520894.4
622671.0 870.018 581562.75
499533.0 836.304 649297.56
400747.0 802.601 724921.1
321497.0 770.516 809351.94
257919.0 742.644 903616.56
206914.0 718.468 1008860.0
165995.0 697.023 1126363.0
133169.0 677.707 1257547.2
106834.0 659.488 1404013.0
85706.6 640.947 1567540.5
68757.6 619.22 1750110.6
55160.3 595.066 1953946.1
44252.0 571.621 2181521.0
35500.9 551.195 2435601.2
28480.4 533.54 2719273.2
22848.2 518.333 3035986.8
18329.8 505.413 3389588.8
14705.0 493.96 3784368.0
11797.0 484.209 4225129.5
9464.04 476.154 4717236.0
7592.46 468.397 5266652.0
6091.01 460.488 5880052.5
4886.47 452.654 6564902.0
3920.14 444.811 7329512.5
3144.91 436.889 8183174.0
2522.98 429.54 9136270.0
2024.04 423.251 10200379.0
1623.78 417.487 11388389.0
1302.66 412.571 12714823.0
1045.05 409.064 14195717.0
838.388 406.005 15849053.0
672.591 402.983 17694992.0
539.582 400.593 19755914.0
432.876 399.006 22056882.0
347.272 398.19 24625836.0
278.597 398.927 27493984.0
223.502 401.718 30696238.0
179.303 405.376 34271420.0
143.845 410.438 38262956.0
115.399 417.758 42719376.0
92.5779 425.807 47694930.0
74.27 432.591 53249944.0
59.5826 439.859 59451956.0
47.7998 447.636 66376270.0
38.3471 454.905 74107060.0
30.7637 462.068 82738296.0
24.68 469.308 92374750.0
19.7993 475.9 103133784.0
15.8839 481.438 115145590.0
12.7427 486.364 128556840.0
10.2228 490.476 143529420.0
8.20117 493.239 160246270.0
6.57933 495.084 178910180.0
5.27823 496.254 199747680.0
4.23442 496.824 223012320.0
3.39704 496.855 248986350.0
2.72525 496.426 277985860.0
2.18632 495.546 310362370.0
1.75396 494.192 346510200.0
1.4071 492.448 386868500.0
1.12884 490.393 431926370.0
0.905603 488.116 482233020.0
0.726514 485.775 538398600.0
0.582841 483.562 601105660.0
0.467581 481.547 671115800.0
0.375113 479.57 749281150.0
0.300932 477.177 836549570.0
0.241421 473.705 933981630.0
0.193678 468.457 1042763260.0
0.155377 460.652 1164213100.0
0.12465 448.831 1299809500.0
0.1 428.007 1451195300.0
