#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 1241.96 9364.669
895680000.0 1241.77 9895.004
718554000.0 1241.39 11047.467
576455000.0 1241.08 12334.165
462457000.0 1240.85 13770.723
371003000.0 1240.66 15374.597
297635000.0 1240.52 17165.26
238776000.0 1240.41 19164.482
191556000.0 1240.33 21396.59
153675000.0 1240.27 23888.605
123285000.0 1240.22 26670.879
98904300.0 1240.18 29777.266
79345400.0 1240.12 33245.4
63654300.0 1240.01 37117.484
51066300.0 1239.78 41440.523
40967600.0 1239.28 46267.086
32866000.0 1238.29 51655.785
26366500.0 1236.55 57672.156
21152400.0 1233.74 64389.14
16969300.0 1229.54 71888.68
13613500.0 1223.63 80261.55
10921400.0 1215.69 89609.336
8761610.0 1205.43 100046.164
7028940.0 1192.56 111698.54
5638920.0 1176.84 124708.05
4523790.0 1158.22 139232.69
3629180.0 1136.89 155449.1
2911490.0 1113.26 173554.05
2335720.0 1087.83 193767.98
1873820.0 1060.27 216335.84
1503260.0 1030.81 241532.38
1205980.0 999.957 269663.62
967489.0 968.422 301071.34
776162.0 936.806 336136.94
622671.0 904.002 375286.66
499533.0 869.969 418996.44
400747.0 835.98 467796.84
321497.0 801.994 522280.7
257919.0 769.975 583110.4
206914.0 742.421 651024.7
165995.0 718.41 726850.25
133169.0 697.185 811504.3
106834.0 678.325 906019.8
85706.6 660.631 1011545.25
68757.6 641.755 1129359.1
55160.3 619.591 1260895.5
44252.0 595.263 1407751.2
35500.9 571.295 1571711.1
28480.4 550.496 1754766.6
22848.2 533.209 1959144.1
18329.8 518.32 2187326.2
14705.0 505.107 2442080.2
11797.0 493.96 2726507.0
9464.04 484.972 3044066.5
7592.46 476.638 3398608.8
6091.01 468.422 3794440.8
4886.47 460.359 4236378.5
3920.14 452.361 4729787.5
3144.91 444.162 5280661.0
2522.98 436.227 5895701.5
2024.04 429.218 6582378.5
1623.78 422.657 7349010.0
1302.66 416.877 8204968.0
1045.05 412.543 9160599.0
838.388 408.795 10227509.0
672.591 405.037 11418707.0
539.582 401.787 12748635.0
432.876 399.207 14233466.0
347.272 397.172 15891231.0
278.597 396.395 17742068.0
223.502 397.547 19808506.0
179.303 399.571 22115596.0
143.845 402.874 24691364.0
115.399 408.5 27567122.0
92.5779 415.252 30777882.0
74.27 421.073 34362572.0
59.5826 427.61 38364780.0
47.7998 435.031 42833090.0
38.3471 442.575 47821824.0
30.7637 450.429 53391620.0
24.68 458.395 59610096.0
19.7993 465.844 66552976.0
15.8839 472.215 74304290.0
12.7427 478.093 82958664.0
10.2228 483.243 92620580.0
8.20117 486.894 103408090.0
6.57933 489.562 115452030.0
5.27823 491.521 128898620.0
4.23442 492.801 143911470.0
3.39704 493.462 160672700.0
2.72525 493.61 179386290.0
2.18632 493.247 200279070.0
1.75396 492.329 223605550.0
1.4071 490.958 249649070.0
1.12884 489.209 278725220.0
0.905603 487.163 311188450.0
0.726514 484.978 347432500.0
0.582841 482.869 387897900.0
0.467581 480.958 433075900.0
0.375113 479.148 483516540.0
0.300932 477.021 539831500.0
0.241421 473.876 602705150.0
0.193678 468.929 672902700.0
0.155377 461.325 751275200.0
0.12465 449.614 838776500.0
0.1 428.208 936466900.0
