#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 980.851 118463.1
895680000.0 980.641 125171.836
718554000.0 980.222 139750.52
576455000.0 979.925 156027.23
462457000.0 979.718 174199.69
371003000.0 979.57 194488.7
297635000.0 979.456 217140.61
238776000.0 979.347 242430.77
191556000.0 979.207 270666.94
153675000.0 978.977 302190.97
123285000.0 978.596 337386.72
98904300.0 978.03 376682.53
79345400.0 977.193 420554.44
63654300.0 975.907 469536.3
51066300.0 974.011 524222.8
40967600.0 971.297 585278.8
32866000.0 967.447 653445.94
26366500.0 962.228 729553.0
21152400.0 955.612 814522.9
16969300.0 947.43 909392.0
13613500.0 937.234 1015308.8
10921400.0 924.597 1133558.5
8761610.0 909.088 1265584.4
7028940.0 889.57 1412986.9
5638920.0 865.664 1577557.2
4523790.0 838.232 1761294.1
3629180.0 808.031 1966431.5
2911490.0 776.973 2195459.5
2335720.0 748.218 2451165.8
1873820.0 723.103 2736649.2
1503260.0 701.121 3055385.5
1205980.0 682.354 3411245.8
967489.0 666.126 3808553.2
776162.0 650.581 4252133.5
622671.0 633.266 4747377.5
499533.0 613.216 5300306.5
400747.0 590.815 5917631.5
321497.0 567.129 6606852.5
257919.0 545.043 7376348.0
206914.0 526.076 8235465.0
165995.0 509.626 9194658.0
133169.0 495.676 10265534.0
106834.0 484.553 11461154.0
85706.6 475.388 12796051.0
68757.6 466.596 14286397.0
55160.3 458.042 15950334.0
44252.0 449.813 17808060.0
35500.9 441.471 19882154.0
28480.4 433.288 22197804.0
22848.2 425.942 24783182.0
18329.8 419.457 27669684.0
14705.0 413.499 30892324.0
11797.0 408.582 34490324.0
9464.04 404.874 38507456.0
7592.46 401.147 42992412.0
6091.01 397.683 47999690.0
4886.47 394.855 53590210.0
3920.14 392.597 59831830.0
3144.91 391.182 66800384.0
2522.98 391.271 74580650.0
2024.04 392.849 83267120.0
1623.78 395.064 92965010.0
1302.66 399.08 103792860.0
1045.05 405.196 115881610.0
838.388 410.8 129378030.0
672.591 416.4 144446690.0
539.582 423.193 161270270.0
432.876 430.768 180053390.0
347.272 438.471 201024140.0
278.597 446.525 224437220.0
223.502 454.21 250577660.0
179.303 460.451 279762370.0
143.845 465.946 312345860.0
115.399 470.95 348724200.0
92.5779 474.947 389340320.0
74.27 477.697 434686720.0
59.5826 479.749 485314600.0
47.7998 481.128 541838700.0
38.3471 481.786 604946300.0
30.7637 481.854 675404200.0
24.68 481.441 754068000.0
19.7993 480.61 841895400.0
15.8839 479.494 939949500.0
12.7427 478.305 1049427460.0
10.2228 477.169 1171650600.0
8.20117 476.097 1308112600.0
6.57933 475.044 1460468600.0
5.27823 473.861 1630568100.0
4.23442 472.381 1820480800.0
3.39704 470.465 2032510300.0
2.72525 468.056 2269237200.0
2.18632 465.16 2533531100.0
1.75396 461.798 2828611000.0
1.4071 458.036 3158061800.0
1.12884 453.933 3525875200.0
0.905603 449.521 3936535300.0
0.726514 444.793 4395023000.0
0.582841 440.096 4906909700.0
0.467581 435.595 5478412000.0
0.375113 431.407 6116486000.0
0.300932 427.609 6828871000.0
0.241421 424.248 7624222000.0
0.193678 421.334 8512221700.0
0.155377 418.853 9503635000.0
0.12465 416.762 10610526000.0
0.1 415.078 11846310000.0
