#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 1145.17 32485.232
895680000.0 1144.92 34324.918
718554000.0 1144.42 38322.715
576455000.0 1144.04 42786.156
462457000.0 1143.76 47769.45
371003000.0 1143.55 53333.15
297635000.0 1143.39 59544.812
238776000.0 1143.27 66479.94
191556000.0 1143.19 74222.92
153675000.0 1143.13 82867.52
123285000.0 1143.08 92518.984
98904300.0 1143.03 103294.77
79345400.0 1142.97 115325.42
63654300.0 1142.85 128757.35
51066300.0 1142.57 143753.61
40967600.0 1142.0 160496.53
32866000.0 1140.91 179189.47
26366500.0 1139.05 200059.73
21152400.0 1136.1 223360.38
16969300.0 1131.72 249375.62
13613500.0 1125.53 278420.38
10921400.0 1117.18 310847.06
8761610.0 1106.35 347051.53
7028940.0 1092.89 387472.62
5638920.0 1076.58 432601.47
4523790.0 1057.39 482986.25
3629180.0 1035.44 539239.56
2911490.0 1010.99 602044.06
2335720.0 984.511 672164.44
1873820.0 956.743 750450.44
1503260.0 927.956 837855.06
1205980.0 897.458 935439.9
967489.0 865.77 1044390.56
776162.0 833.756 1166030.0
622671.0 800.934 1301837.1
499533.0 769.542 1453462.6
400747.0 742.157 1622746.9
321497.0 717.883 1811746.6
257919.0 696.268 2022759.5
206914.0 677.008 2258348.5
165995.0 658.574 2521381.0
133169.0 638.785 2815038.8
106834.0 616.531 3142904.8
85706.6 593.799 3508963.5
68757.6 571.343 3917649.5
55160.3 551.586 4373938.0
44252.0 534.72 4883368.0
35500.9 519.457 5452130.5
28480.4 505.857 6087134.5
22848.2 494.359 6796102.5
18329.8 484.533 7587646.5
14705.0 475.451 8471365.0
11797.0 467.211 9458018.0
9464.04 459.972 10559605.0
7592.46 452.732 11789480.0
6091.01 445.242 13162588.0
4886.47 437.86 14695633.0
3920.14 430.804 16407227.0
3144.91 424.09 18318158.0
2522.98 418.256 20451680.0
2024.04 413.608 22833704.0
1623.78 409.396 25493084.0
1302.66 406.021 28462326.0
1045.05 404.189 31777330.0
838.388 402.743 35478348.0
672.591 401.448 39610510.0
539.582 401.186 44223916.0
432.876 402.154 49374668.0
347.272 404.174 55125310.0
278.597 407.983 61545704.0
223.502 414.065 68714000.0
179.303 420.836 76717096.0
143.845 428.57 85652216.0
115.399 437.821 95627970.0
92.5779 446.946 106765816.0
74.27 454.087 119200810.0
59.5826 461.031 133084110.0
47.7998 467.906 148584300.0
38.3471 474.172 165889800.0
30.7637 480.059 185210940.0
24.68 485.647 206782290.0
19.7993 490.49 230866560.0
15.8839 494.31 257755180.0
12.7427 497.35 287776450.0
10.2228 499.53 321292770.0
8.20117 500.675 358713760.0
6.57933 501.118 400493150.0
5.27823 501.05 447138200.0
4.23442 500.53 499216480.0
3.39704 499.595 557359740.0
2.72525 498.279 622275600.0
2.18632 496.599 694750850.0
1.75396 494.575 775668400.0
1.4071 492.295 866011140.0
1.12884 489.859 966873800.0
0.905603 487.396 1079486100.0
0.726514 485.056 1205213600.0
0.582841 482.911 1345584400.0
0.467581 480.84 1502303100.0
0.375113 478.497 1677277300.0
0.300932 475.4 1872629100.0
0.241421 471.054 2090732200.0
0.193678 465.009 2334241500.0
0.155377 456.665 2606109200.0
0.12465 444.608 2909643500.0
0.1 426.195 3248523000.0
