#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 1107.45 45765.133
895680000.0 1107.18 48356.88
718554000.0 1106.65 53988.97
576455000.0 1106.25 60277.062
462457000.0 1105.96 67297.516
371003000.0 1105.74 75135.65
297635000.0 1105.58 83886.625
238776000.0 1105.47 93656.81
191556000.0 1105.38 104565.125
153675000.0 1105.32 116743.61
123285000.0 1105.27 130340.57
98904300.0 1105.22 145521.48
79345400.0 1105.15 162470.25
63654300.0 1105.01 181393.14
51066300.0 1104.69 202519.83
40967600.0 1104.06 226107.23
32866000.0 1102.91 252441.81
26366500.0 1100.99 281843.78
21152400.0 1098.02 314669.7
16969300.0 1093.67 351319.9
13613500.0 1087.53 392238.12
10921400.0 1079.25 437920.78
8761610.0 1068.54 488925.56
7028940.0 1055.16 545870.75
5638920.0 1039.01 609448.1
4523790.0 1020.13 680430.1
3629180.0 998.671 759679.7
2911490.0 975.016 848158.56
2335720.0 949.771 946944.06
1873820.0 922.861 1057233.2
1503260.0 893.681 1180368.6
1205980.0 862.771 1317846.0
967489.0 831.495 1471335.4
776162.0 799.533 1642701.0
622671.0 768.588 1834025.6
499533.0 741.411 2047635.4
400747.0 717.478 2286123.0
321497.0 696.036 2552385.5
257919.0 676.764 2849660.0
206914.0 658.571 3181557.5
165995.0 639.182 3552116.8
133169.0 616.303 3965821.2
106834.0 592.409 4427718.0
85706.6 570.847 4943421.0
68757.6 551.725 5519177.5
55160.3 534.956 6161996.0
44252.0 520.029 6879680.5
35500.9 506.647 7680952.0
28480.4 494.767 8575544.0
22848.2 484.635 9574337.0
18329.8 475.739 10689462.0
14705.0 467.199 11934445.0
11797.0 459.209 13324438.0
9464.04 452.195 14876352.0
7592.46 445.135 16608999.0
6091.01 437.899 18543430.0
4886.47 431.026 20703182.0
3920.14 424.585 23114470.0
3144.91 418.609 25806590.0
2522.98 413.583 28812292.0
2024.04 409.674 32168080.0
1623.78 406.136 35914610.0
1302.66 403.567 40097670.0
1045.05 402.671 44767844.0
838.388 402.128 49981830.0
672.591 401.892 55803216.0
539.582 402.918 62302576.0
432.876 405.231 69558936.0
347.272 408.608 77660440.0
278.597 413.894 86705470.0
223.502 421.369 96804160.0
179.303 429.111 108078904.0
143.845 437.413 120666680.0
115.399 446.818 134720510.0
92.5779 455.523 150411500.0
74.27 462.365 167929890.0
59.5826 468.952 187488660.0
47.7998 475.283 209325300.0
38.3471 480.951 233705250.0
30.7637 486.158 260924850.0
24.68 490.945 291314530.0
19.7993 494.905 325244380.0
15.8839 497.827 363125020.0
12.7427 499.945 405418940.0
10.2228 501.271 452636700.0
8.20117 501.741 505355260.0
6.57933 501.642 564214100.0
5.27823 501.113 629927500.0
4.23442 500.176 703295300.0
3.39704 498.857 785207400.0
2.72525 497.184 876660740.0
2.18632 495.196 978763800.0
1.75396 492.942 1092760300.0
1.4071 490.523 1220035000.0
1.12884 488.072 1362130000.0
0.905603 485.723 1520777900.0
0.726514 483.559 1697902500.0
0.582841 481.52 1895656800.0
0.467581 479.347 2116441900.0
0.375113 476.645 2362945300.0
0.300932 473.01 2638156500.0
0.241421 468.1 2945419500.0
0.193678 461.598 3288475400.0
0.155377 452.951 3671481900.0
0.12465 440.996 4099100700.0
0.1 424.634 4576513500.0
