#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 1023.65 90326.16
895680000.0 1023.37 95441.46
718554000.0 1022.81 106557.445
576455000.0 1022.4 118968.19
462457000.0 1022.11 132824.38
371003000.0 1021.91 148294.4
297635000.0 1021.76 165566.12
238776000.0 1021.66 184849.44
191556000.0 1021.58 206379.06
153675000.0 1021.52 230415.62
123285000.0 1021.46 257251.78
98904300.0 1021.37 287214.2
79345400.0 1021.2 320665.78
63654300.0 1020.86 358013.66
51066300.0 1020.23 399711.2
40967600.0 1019.19 446265.44
32866000.0 1017.52 498241.7
26366500.0 1015.0 556272.06
21152400.0 1011.37 621060.2
16969300.0 1006.33 693396.4
13613500.0 999.547 774156.2
10921400.0 990.823 864319.56
8761610.0 979.994 964987.06
7028940.0 966.779 1077379.2
5638920.0 951.149 1202861.2
4523790.0 932.949 1342957.6
3629180.0 911.625 1499371.6
2911490.0 886.843 1674001.5
2335720.0 858.849 1868973.2
1873820.0 828.617 2086649.6
1503260.0 796.587 2329681.0
1205980.0 765.798 2601018.2
967489.0 739.439 2903959.0
776162.0 716.12 3242181.2
622671.0 695.213 3619796.8
499533.0 676.775 4041396.0
400747.0 659.919 4512096.5
321497.0 642.272 5037615.5
257919.0 621.139 5624343.0
206914.0 597.452 6279405.5
165995.0 573.537 7010774.5
133169.0 552.336 7827299.0
106834.0 535.255 8738940.0
85706.6 521.069 9756777.0
68757.6 508.083 10893141.0
55160.3 496.426 12161865.0
44252.0 486.14 13578351.0
35500.9 476.631 15159812.0
28480.4 467.582 16925458.0
22848.2 459.13 18896766.0
18329.8 451.181 21097676.0
14705.0 443.171 23554886.0
11797.0 435.784 26298300.0
9464.04 429.692 29361296.0
7592.46 423.843 32781002.0
6091.01 418.265 36598970.0
4886.47 413.314 40861650.0
3920.14 408.84 45620780.0
3144.91 404.804 50934190.0
2522.98 401.768 56866510.0
2024.04 399.946 63489800.0
1623.78 398.649 70884270.0
1302.66 398.859 79140344.0
1045.05 401.277 88357810.0
838.388 403.945 98648610.0
672.591 406.977 110138210.0
539.582 411.439 122965910.0
432.876 417.147 137287730.0
347.272 423.532 153277570.0
278.597 431.174 171129660.0
223.502 440.074 191061330.0
179.303 448.405 213314180.0
143.845 456.352 238158540.0
115.399 464.463 265896430.0
92.5779 471.704 296865570.0
74.27 477.364 331441400.0
59.5826 482.402 370044320.0
47.7998 486.813 413143070.0
38.3471 490.331 461261500.0
30.7637 493.069 514984580.0
24.68 495.098 574964350.0
19.7993 496.372 641931300.0
15.8839 496.957 716695940.0
12.7427 497.041 800171000.0
10.2228 496.651 893364200.0
8.20117 495.745 997414340.0
6.57933 494.427 1113583200.0
5.27823 492.767 1243281200.0
4.23442 490.834 1388086400.0
3.39704 488.726 1549755500.0
2.72525 486.573 1730255900.0
2.18632 484.505 1931775600.0
1.75396 482.599 2156769000.0
1.4071 480.836 2407969800.0
1.12884 479.067 2688421400.0
0.905603 477.059 3001543000.0
0.726514 474.566 3351132000.0
0.582841 471.423 3741437200.0
0.467581 467.548 4177198300.0
0.375113 462.917 4663719400.0
0.300932 457.491 5206900700.0
0.241421 451.223 5813343000.0
0.193678 443.897 6490429000.0
0.155377 435.882 7246364000.0
0.12465 427.534 8090350600.0
0.1 419.311 9032615000.0
