#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    1173.65    16163.549
895680000.0    1173.34    17078.916
718554000.0    1172.72    19068.082
576455000.0    1172.25    21288.941
462457000.0    1171.89    23768.459
371003000.0    1171.62    26536.768
297635000.0    1171.42    29627.48
238776000.0    1171.27    33078.164
191556000.0    1171.16    36930.812
153675000.0    1171.08    41232.07
123285000.0    1171.02    46034.31
98904300.0    1170.98    51395.98
79345400.0    1170.93    57382.023
63654300.0    1170.87    64065.293
51066300.0    1170.76    71526.92
40967600.0    1170.5    79857.64
32866000.0    1169.96    89158.61
26366500.0    1168.9    99542.945
21152400.0    1167.05    111136.555
16969300.0    1164.06    124080.85
13613500.0    1159.57    138532.55
10921400.0    1153.22    154666.97
8761610.0    1144.59    172681.08
7028940.0    1133.35    192793.23
5638920.0    1119.27    215247.83
4523790.0    1102.38    240317.58
3629180.0    1082.72    268307.3
2911490.0    1060.17    299556.72
2335720.0    1034.92    334446.25
1873820.0    1007.38    373398.7
1503260.0    978.249    416888.25
1205980.0    948.495    465443.2
967489.0    918.047    519653.3
776162.0    886.07    580177.06
622671.0    853.11    647750.0
499533.0    819.896    723193.7
400747.0    786.936    807423.9
321497.0    756.665    901463.7
257919.0    730.57    1006456.56
206914.0    707.595    1123677.8
165995.0    687.184    1254553.6
133169.0    668.355    1400667.9
106834.0    649.99    1563802.8
85706.6    630.343    1745941.2
68757.6    607.581    1949289.6
55160.3    583.539    2176323.2
44252.0    561.586    2429798.5
35500.9    542.898    2712795.5
28480.4    526.273    3028751.8
22848.2    512.051    3381510.2
18329.8    500.03    3775355.5
14705.0    489.333    4215064.5
11797.0    480.135    4705989.0
9464.04    472.432    5254101.5
7592.46    464.863    5866046.0
6091.01    457.081    6549258.0
4886.47    449.389    7312049.0
3920.14    441.691    8163679.5
3144.91    434.08    9114495.0
2522.98    427.152    10176063.0
2024.04    421.342    11361278.0
1623.78    416.076    12684494.0
1302.66    411.673    14161888.0
1045.05    408.695    15811322.0
838.388    406.137    17652824.0
672.591    403.655    19708846.0
539.582    401.912    22004322.0
432.876    401.091    24567160.0
347.272    401.186    27428488.0
278.597    402.983    30623056.0
223.502    406.938    34189756.0
179.303    411.781    38171828.0
143.845    418.051    42617636.0
115.399    426.45    47581236.0
92.5779    435.31    53123056.0
74.27    442.67    59310284.0
59.5826    450.127    66218144.0
47.7998    457.534    73930510.0
38.3471    464.464    82541140.0
30.7637    471.203    92154690.0
24.68    477.845    102887864.0
19.7993    483.838    114871380.0
15.8839    488.875    128250240.0
12.7427    493.319    143187800.0
10.2228    496.976    159864400.0
8.20117    499.38    178483790.0
6.57933    500.878    199271800.0
5.27823    501.676    222480830.0
4.23442    501.872    248393230.0
3.39704    501.563    277323330.0
2.72525    500.845    309623230.0
2.18632    499.724    345684480.0
1.75396    498.186    385946300.0
1.4071    496.28    430897760.0
1.12884    494.058    481083620.0
0.905603    491.58    537115600.0
0.726514    488.972    599673400.0
0.582841    486.409    669517100.0
0.467581    484.035    747495100.0
0.375113    481.812    834556350.0
0.300932    479.4    931756800.0
0.241421    476.148    1040277440.0
0.193678    471.236    1161439500.0
0.155377    463.715    1296711600.0
0.12465    452.069    1447739900.0
0.1    429.942    1616355000.0
