#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    1011.77    65686.99
895680000.0    1011.39    69406.94
718554000.0    1010.63    77490.71
576455000.0    1010.09    86516.055
462457000.0    1009.7    96592.555
371003000.0    1009.42    107842.67
297635000.0    1009.23    120403.01
238776000.0    1009.09    134426.23
191556000.0    1008.99    150083.0
153675000.0    1008.92    167562.86
123285000.0    1008.87    187078.66
98904300.0    1008.81    208867.94
79345400.0    1008.72    233194.58
63654300.0    1008.55    260354.73
51066300.0    1008.2    290678.03
40967600.0    1007.58    324533.16
32866000.0    1006.52    362331.34
26366500.0    1004.85    404532.2
21152400.0    1002.34    451647.44
16969300.0    998.697    504251.75
13613500.0    993.593    562981.9
10921400.0    986.784    628550.5
8761610.0    978.042    701758.0
7028940.0    967.037    783491.75
5638920.0    953.646    874744.8
4523790.0    937.778    976625.7
3629180.0    918.958    1090373.1
2911490.0    896.81    1217367.5
2335720.0    871.282    1359155.0
1873820.0    843.042    1517453.5
1503260.0    812.312    1694190.6
1205980.0    780.998    1891512.9
967489.0    752.844    2111817.2
776162.0    728.184    2357779.2
622671.0    705.78    2632389.0
499533.0    686.028    2938984.5
400747.0    668.49    3281287.0
321497.0    651.479    3663455.2
257919.0    632.255    4090135.0
206914.0    609.888    4566510.0
165995.0    585.69    5098375.5
133169.0    562.694    5692169.5
106834.0    544.194    6355132.5
85706.6    529.031    7095324.5
68757.6    515.064    7921710.5
55160.3    502.51    8844353.0
44252.0    491.512    9874449.0
35500.9    481.502    11024520.0
28480.4    472.168    12308533.0
22848.2    463.58    13742107.0
18329.8    455.513    15342653.0
14705.0    447.468    17129586.0
11797.0    439.915    19124652.0
9464.04    433.584    21352124.0
7592.46    427.47    23839004.0
6091.01    421.582    26615506.0
4886.47    416.317    29715408.0
3920.14    411.578    33176348.0
3144.91    407.29    37040364.0
2522.98    403.956    41354468.0
2024.04    401.817    46171056.0
1623.78    400.159    51548470.0
1302.66    399.884    57552450.0
1045.05    401.773    64255576.0
838.388    404.015    71739250.0
672.591    406.642    80094720.0
539.582    410.682    89423290.0
432.876    416.061    99838390.0
347.272    422.311    111466530.0
278.597    429.924    124448920.0
223.502    438.833    138943630.0
179.303    447.186    155126350.0
143.845    455.235    173193660.0
115.399    463.518    193365220.0
92.5779    470.986    215886600.0
74.27    476.86    241030850.0
59.5826    482.188    269103680.0
47.7998    486.993    300445920.0
38.3471    490.975    335438620.0
30.7637    494.203    374507100.0
24.68    496.698    418125630.0
19.7993    498.343    466825380.0
15.8839    499.198    521195680.0
12.7427    499.5    581900400.0
10.2228    499.318    649672300.0
8.20117    498.614    725339650.0
6.57933    497.491    809820000.0
5.27823    496.003    904139000.0
4.23442    494.189    1009444350.0
3.39704    492.114    1127013200.0
2.72525    489.878    1258276900.0
2.18632    487.601    1404826000.0
1.75396    485.407    1568445700.0
1.4071    483.386    1751124000.0
1.12884    481.516    1955073900.0
0.905603    479.636    2182782200.0
0.726514    477.488    2437010400.0
0.582841    474.812    2720848400.0
0.467581    471.409    3037742600.0
0.375113    467.18    3391550500.0
0.300932    462.057    3786562800.0
0.241421    455.958    4227580000.0
0.193678    448.678    4719970300.0
0.155377    440.018    5269701600.0
0.12465    430.469    5883465700.0
0.1    420.447    6568699000.0
