#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    967.267    86020.33
895680000.0    966.985    90891.79
718554000.0    966.421    101477.875
576455000.0    966.022    113297.01
462457000.0    965.746    126492.68
371003000.0    965.554    141225.25
297635000.0    965.417    157673.64
238776000.0    965.313    176037.72
191556000.0    965.217    196541.02
153675000.0    965.086    219431.77
123285000.0    964.874    244988.66
98904300.0    964.541    273522.78
79345400.0    964.024    305379.72
63654300.0    963.211    340947.25
51066300.0    961.978    380657.06
40967600.0    960.174    424992.06
32866000.0    957.548    474490.62
26366500.0    953.866    529754.7
21152400.0    948.998    591454.44
16969300.0    942.703    660342.4
13613500.0    934.662    737252.4
10921400.0    924.6    823117.6
8761610.0    912.048    918986.5
7028940.0    895.825    1026020.7
5638920.0    875.279    1145521.1
4523790.0    850.656    1278939.1
3629180.0    822.544    1427896.9
2911490.0    792.057    1594202.2
2335720.0    762.193    1779879.9
1873820.0    735.648    1987179.9
1503260.0    711.998    2218625.8
1205980.0    691.754    2477028.5
967489.0    674.653    2765528.0
776162.0    659.031    3087627.2
622671.0    642.774    3447242.0
499533.0    624.153    3848743.8
400747.0    602.867    4297006.0
321497.0    579.238    4797474.0
257919.0    555.929    5356232.0
206914.0    535.726    5980068.0
165995.0    517.913    6676573.0
133169.0    502.636    7454174.0
106834.0    490.513    8322357.0
85706.6    480.707    9291674.0
68757.6    471.508    10373868.0
55160.3    462.706    11582112.0
44252.0    454.299    12931074.0
35500.9    445.917    14437148.0
28480.4    437.529    16118626.0
22848.2    429.907    17995962.0
18329.8    423.111    20091956.0
14705.0    416.812    22432030.0
11797.0    411.595    25044668.0
9464.04    407.652    27961652.0
7592.46    403.716    31218342.0
6091.01    400.024    34854308.0
4886.47    396.949    38913784.0
3920.14    394.392    43446050.0
3144.91    392.625    48506170.0
2522.98    392.368    54155700.0
2024.04    393.608    60463252.0
1623.78    395.442    67505250.0
1302.66    399.09    75367740.0
1045.05    404.95    84145816.0
838.388    410.366    93946056.0
672.591    415.726    104887944.0
539.582    422.235    117104170.0
432.876    429.613    130743260.0
347.272    437.299    145970860.0
278.597    445.567    162971950.0
223.502    453.665    181953490.0
179.303    460.29    203145540.0
143.845    466.154    226805570.0
115.399    471.526    253221230.0
92.5779    475.859    282714050.0
74.27    478.907    315641700.0
59.5826    481.267    352404400.0
47.7998    482.979    393448640.0
38.3471    483.968    439273300.0
30.7637    484.345    490435360.0
24.68    484.186    547555900.0
19.7993    483.521    611330700.0
15.8839    482.443    682531200.0
12.7427    481.151    762027100.0
10.2228    479.789    850777700.0
8.20117    478.463    949867840.0
6.57933    477.24    1060498940.0
5.27823    476.064    1184014300.0
4.23442    474.787    1321916700.0
3.39704    473.226    1475879000.0
2.72525    471.244    1647775000.0
2.18632    468.77    1839688300.0
1.75396    465.783    2053956500.0
1.4071    462.329    2293182500.0
1.12884    458.46    2560265000.0
0.905603    454.216    2858460200.0
0.726514    449.643    3191384600.0
0.582841    444.74    3563084000.0
0.467581    439.853    3978072600.0
0.375113    435.159    4441401300.0
0.300932    430.777    4958689300.0
0.241421    426.798    5536222700.0
0.193678    423.271    6181032000.0
0.155377    420.213    6900931600.0
0.12465    417.603    7704685600.0
0.1    415.474    8602032000.0
