#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    1097.21    33481.5
895680000.0    1096.86    35377.61
718554000.0    1096.14    39498.008
576455000.0    1095.61    44098.34
462457000.0    1095.22    49234.46
371003000.0    1094.93    54968.793
297635000.0    1094.72    61370.953
238776000.0    1094.57    68518.77
191556000.0    1094.46    76499.22
153675000.0    1094.37    85408.93
123285000.0    1094.31    95356.38
98904300.0    1094.27    106462.66
79345400.0    1094.22    118862.266
63654300.0    1094.15    132706.14
51066300.0    1094.0    148162.3
40967600.0    1093.68    165418.7
32866000.0    1093.04    184684.92
26366500.0    1091.86    206195.25
21152400.0    1089.9    230210.48
16969300.0    1086.85    257023.56
13613500.0    1082.35    286959.06
10921400.0    1076.02    320380.25
8761610.0    1067.48    357695.03
7028940.0    1056.38    399355.75
5638920.0    1042.53    445868.62
4523790.0    1025.85    497798.62
3629180.0    1006.42    555777.1
2911490.0    984.491    620507.75
2335720.0    960.571    692778.6
1873820.0    935.145    773465.56
1503260.0    907.57    863550.7
1205980.0    877.986    964128.25
967489.0    847.523    1076420.2
776162.0    816.193    1201790.2
622671.0    784.329    1341762.2
499533.0    755.01    1498037.9
400747.0    729.537    1672514.0
321497.0    706.603    1867310.0
257919.0    686.234    2084794.2
206914.0    667.784    2327608.5
165995.0    649.42    2598707.5
133169.0    628.403    2901371.5
106834.0    605.204    3239292.2
85706.6    582.764    3616577.5
68757.6    561.731    4037797.2
55160.3    543.599    4508079.5
44252.0    527.673    5033133.0
35500.9    513.312    5619338.5
28480.4    500.556    6273816.5
22848.2    489.762    7004528.0
18329.8    480.446    7820347.0
14705.0    471.679    8731169.0
11797.0    463.597    9748080.0
9464.04    456.487    10883451.0
7592.46    449.379    12151045.0
6091.01    442.016    13566263.0
4886.47    434.912    15146324.0
3920.14    428.193    16910408.0
3144.91    421.887    18879948.0
2522.98    416.524    21078902.0
2024.04    412.333    23533978.0
1623.78    408.541    26274914.0
1302.66    405.659    29335220.0
1045.05    404.415    32751886.0
838.388    403.536    36566412.0
672.591    402.885    40825300.0
539.582    403.403    45580190.0
432.876    405.231    50888908.0
347.272    408.139    56815916.0
278.597    412.929    63433212.0
223.502    419.991    70821340.0
179.303    427.567    79069890.0
143.845    435.887    88279020.0
115.399    445.423    98560730.0
92.5779    454.335    110040160.0
74.27    461.313    122856504.0
59.5826    468.048    137165580.0
47.7998    474.557    153141140.0
38.3471    480.401    170977360.0
30.7637    485.827    190891060.0
24.68    490.927    213123970.0
19.7993    495.308    237946850.0
15.8839    498.725    265660100.0
12.7427    501.369    296602080.0
10.2228    503.172    331146300.0
8.20117    503.994    369714900.0
6.57933    504.139    412775600.0
5.27823    503.792    460851200.0
4.23442    503.028    514526660.0
3.39704    501.879    574453100.0
2.72525    500.382    641359800.0
2.18632    498.547    716057800.0
1.75396    496.391    799456900.0
1.4071    493.987    892570300.0
1.12884    491.425    996526300.0
0.905603    488.825    1112592100.0
0.726514    486.332    1242175500.0
0.582841    484.038    1386851200.0
0.467581    481.85    1548376300.0
0.375113    479.45    1728716700.0
0.300932    476.353    1930059600.0
0.241421    472.045    2154851600.0
0.193678    466.045    2405829000.0
0.155377    457.722    2686034200.0
0.12465    445.655    2998877400.0
0.1    426.802    3348149800.0
