#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    966.989    87466.85
895680000.0    966.736    92420.23
718554000.0    966.23    103184.336
576455000.0    965.873    115202.21
462457000.0    965.626    128619.78
371003000.0    965.453    143600.11
297635000.0    965.321    160325.08
238776000.0    965.204    178997.98
191556000.0    965.065    199846.06
153675000.0    964.847    223121.73
123285000.0    964.497    249108.4
98904300.0    963.986    278122.34
79345400.0    963.237    310515.0
63654300.0    962.09    346680.62
51066300.0    960.393    387058.22
40967600.0    957.944    432138.75
32866000.0    954.438    482469.7
26366500.0    949.664    538663.06
21152400.0    943.632    601400.4
16969300.0    936.173    671446.7
13613500.0    926.799    749650.0
10921400.0    914.968    836959.25
8761610.0    900.214    934440.1
7028940.0    881.297    1043274.4
5638920.0    857.955    1164784.2
4523790.0    831.052    1300445.9
3629180.0    801.454    1451908.5
2911490.0    771.158    1621010.4
2335720.0    743.147    1809810.4
1873820.0    718.579    2020596.1
1503260.0    697.202    2255934.2
1205980.0    678.983    2518682.2
967489.0    663.162    2812033.0
776162.0    647.703    3139549.0
622671.0    630.174    3505211.0
499533.0    609.929    3913464.5
400747.0    587.477    4369264.0
321497.0    563.754    4878148.0
257919.0    541.413    5446303.0
206914.0    522.04    6080629.0
165995.0    505.367    6788846.0
133169.0    491.352    7579523.0
106834.0    480.245    8462306.0
85706.6    471.12    9447923.0
68757.6    462.365    10548315.0
55160.3    453.896    11776877.0
44252.0    445.697    13148524.0
35500.9    437.464    14679923.0
28480.4    429.518    16389677.0
22848.2    422.464    18298582.0
18329.8    416.292    20429822.0
14705.0    410.635    22809248.0
11797.0    405.958    25465818.0
9464.04    402.458    28431854.0
7592.46    398.928    31743310.0
6091.01    395.665    35440420.0
4886.47    393.069    39568156.0
3920.14    391.096    44176636.0
3144.91    389.974    49321852.0
2522.98    390.352    55066380.0
2024.04    392.264    61480004.0
1623.78    394.826    68640420.0
1302.66    399.117    76635130.0
1045.05    405.441    85560820.0
838.388    411.263    95525860.0
672.591    417.141    106651740.0
539.582    424.171    119073390.0
432.876    431.843    132941850.0
347.272    439.457    148425520.0
278.597    447.235    165712500.0
223.502    454.544    185013220.0
179.303    460.471    206561630.0
143.845    465.669    230619540.0
115.399    470.356    257479380.0
92.5779    474.037    287468200.0
74.27    476.482    320949540.0
59.5826    478.204    358330460.0
47.7998    479.248    400064900.0
38.3471    479.599    446660130.0
30.7637    479.416    498682530.0
24.68    478.834    556763650.0
19.7993    477.952    621610750.0
15.8839    476.933    694008700.0
12.7427    475.945    774841340.0
10.2228    475.043    865084400.0
8.20117    474.116    965840800.0
6.57933    473.044    1078332300.0
5.27823    471.66    1203924600.0
4.23442    469.84    1344146000.0
3.39704    467.519    1500697500.0
2.72525    464.714    1675484000.0
2.18632    461.464    1870624600.0
1.75396    457.813    2088495900.0
1.4071    453.827    2331744800.0
1.12884    449.555    2603318500.0
0.905603    444.981    2906528000.0
0.726514    440.423    3245051000.0
0.582841    436.055    3623000800.0
0.467581    431.992    4044967700.0
0.375113    428.309    4516088000.0
0.300932    425.05    5042074600.0
0.241421    422.217    5629319700.0
0.193678    419.805    6284972000.0
0.155377    417.777    7016978000.0
0.12465    416.086    7834247700.0
0.1    414.734    8746684000.0
