#The solar chemical composition Asplund et al. (2009), ARA&A, 47, 481:
C   3.44
H   12.00          
He  4.99
N   2.91
O   11.70
P   5.41
S   7.12
Si  7.51
Ti  4.95
V   3.93
Cl  5.50
K   5.03
Na  6.24
Mg  7.60
F   4.56
Ca  6.34
Fe  7.50
e-  0
